title,body,money_required,city,all_tags,image,money_rasied,username
bake cookies for firehall,On the most sensational inspirational celebrational Muppetational… This is what we call the Muppet Show. You wanna be where you can see our troubles are all the same. You wanna be where everybody knows Your name. It's time to play the music. It's time to light the lights. It's time to meet the Muppets on the Muppet Show tonight.,30,Vancouver,"bake, volunteers",,25,david_chan
treat strangers to lunch,The weather started getting rough - the tiny ship was tossed. If not for the courage of the fearless crew the Minnow would be lost. the Minnow would be lost. Goodbye gray sky hello blue. There's nothing can hold me when I hold you. Feels so right it cant be wrong. Rockin' and rollin' all week long. Wouldn't you like to get away?,50,Victoria,"lunch, strangers",,43,ben_jargon
paint over graffiti ,Go Speed Racer. Go Speed Racer. Go Speed Racer go! Come and dance on our floor. Take a step that is new. We've a loveable space that needs your face threes company too. Movin' on up to the east side. We finally got a piece of the pie. Its mission - to explore strange new worlds to seek out new life and new civilizations to boldly go where no man has gone before. Come and play. Everything's A-OK,30,Vancouver,"community, clean, paint",,28,baller
pay for someones parking ticket ,Wouldn't you like to get away? Sometimes you want to go where everybody knows your name. And they're always glad you came. I have always wanted to have a neighbor just like you,35,Toronto,"parking ticket,",,34,pizzaGuy
buy socks for homeless shelter,The movie star the professor and Mary Ann here on Gilligans Isle. It's time to play the music. It's time to light the lights. It's time to meet the Muppets on the Muppet Show tonight. Here he comes Here comes Speed Racer. He's a demon on wheels.,40,Calgary,"homeless, clothes",,32,santaMan
lottery tickets for 5 random people,Straightnin' the curves. Flatnin' the hills Someday the mountain might get ‘em but the law never will. Were gonna do it. Give us any chance well take it. Give us any rule we'll break it. We're gonna make our dreams come true.,25,Montreal,lottery,,23,pichaPicha
create scavenger hunt,Come and play. Everything's A-OK. Friendly neighbors there that's where we meet. Can you tell me how to get how to get to Sesame Street. Thank you for being a friend. Travelled down the road and back again. Your heart is true you're a pal and a confidant!,100,Vancouver,"scavanger hunt, treasure",,92,willy
leave money at thrfit store for next person,Rockin' and rollin' all week long. They were four men living all together yet they were all alone. Thank you for being a friend. Travelled down the road and back again. Your heart is true you're a pal and a confidant. Sunny Days sweepin' the clouds away. On my way to where the air is sweet.,40,Vancouver,"gift, thrift ",,31,patrick_tucker
donate toys for kids,I never thought I could feel so free. Flying away on a wing and a prayer. Who could it be? Believe it or not its just me. Goodbye gray sky hello blue. There's nothing can hold me when I hold you. Feels so right it cant be wrong,50,Montreal,random act of kindness,,47,TamTam
reward volunteers with giftcards,Maybe you and me were never meant to be. But baby think of me once in awhile. I'm at WKRP in Cincinnati. It's a beautiful day in this neighborhood a beautiful day for a neighbor. Would you be mine? Could you be mine? Its a neighborly day in this beautywood a neighborly day for a beauty. Would you be mine?,80,Victoria,random act of kindness,,76,Rosaz
