username,first_name,last_name,wallet,city,email,password,password_confirmation
david_chan,david,chan,39,Vancouver,david_chan@gmail.com,pepper12,pepper12
ben_jargon,ben,jargon,41,Vancouver,benjargon@gmail.com,pepper12,pepper12
baller,steph ,hawkins,46,Montreal,steph_hawkins@gmail.com,pepper12,pepper12
pizzaGuy,claire,khan,48,Calgary,klaire_bear@gmail.com,pepper12,pepper12
santaMan,john,grossman,56,Edmonton,js@gmail.com,pepper12,pepper12
pichaPicha,Dawn,Lawn,51,Winnipeg,dawn@gmail.com,pepper12,pepper12
willy,William,Wright,40,Toronto,william.j.wright@gmail.com,pepper12,pepper12
patrick_tucker,patrick,tucker,38,Victoria,patrick_tucker@gmail.com,pepper12,pepper12
TamTam,Talim,Kwala,33,Vancouver,tamtam@gmail.com,pepper12,pepper12
Rosaz,Rosa,McLaren,32,Victoria,Rosa@gmail.com,pepper12,pepper12
dockhands,dan,hawkins,33,Vancouver,danhawkins4@gmail.com,pepper12,pepper12
